USE OF SYSTEM AGREEMENT (UoSA) TRACKER — Municipal network access map;;;;;;;;;;;;
A UoSA = formal agreement between a trader and a municipality to use its distribution network for wheeling. Without a UoSA, a trader CANNOT serve customers in that municipality. This map shows who has access where.;;;;;;;;;;;;
WHY THIS MATTERS: Municipal network access is a structural competitive advantage. A trader with a UoSA in a municipality has the right to serve ALL C&I customers in that area. A trader without a UoSA must use Eskom's transmission grid only (limiting customer reach). Tracking who has UoSAs where = tracking geographic market control.;;;;;;;;;;;;
Municipality / Metro;Province;Competitor with UoSA;UoSA Status;"Date Signed
/ Announced";"Network Type
(Eskom / Municipal)";"Customers Served
under UoSA";"Annual Volume
(GWh est.)";"Strategic Importance
(H/M/L)";"Apollo
Access Here?";"Apollo
Opportunity?";Source / Reference;Notes
George;Western Cape;Enpower Trading;? Active;~2021–2022;Municipal (George);~4 C&I customers (pilot);~1 GWh pa (pilot);Medium;[ Enter ];Yes — no trader has monopoly;engineeringnews.co.za Jun 2023;First live UoSA / wheeling deal in SA. Enpower pilot with 4 customers.
Overstrand;Western Cape;Enpower Trading;? Active;~2021–2022;Municipal (Overstrand);Not disclosed;Not disclosed;Medium;[ Enter ];Yes;energize.co.za Mar 2022;Second UoSA for Enpower. Western Cape focus.
City of Cape Town;Western Cape;Etana Energy;? Active (wheeling pilot);August 2023;Municipal (City of Cape Town);Growthpoint Properties (pilot);~30 GWh pa (pilot scope);High — SA's most advanced wheeling municipality;[ Enter ];High — CoT is the most active wheeling market in SA;Chariot RNS Sep 2023 / Etana LinkedIn;Etana was selected as pilot trader in CoT wheeling programme. First electrons wheeled Sep 2023.
City of Cape Town;Western Cape;Enpower Trading;? Active (pilot participant);~2023;Municipal (City of Cape Town);Multiple C&I customers;Not disclosed;High;[ Enter ];High;engineeringnews.co.za Jun 2023;Enpower also participant in CoT wheeling pilot.
Nelson Mandela Bay Metro;Eastern Cape;Etana Energy;? Active;Not disclosed;Municipal (NMBM);Not disclosed;Not disclosed;High — large industrial metro;[ Enter ];Yes;Etana LinkedIn bio;Etana confirms NMBM as active municipal network alongside Cape Town.
City of Johannesburg / City Power;Gauteng;Enpower Trading;?? In discussion;Ongoing;Municipal (City Power);Not yet live;N/A;Very High — largest C&I market in SA;[ Enter ];Very High — whoever secures JHB first wins the biggest prize;energize.co.za / infrastructurenews.co.za Mar 2022;Enpower confirmed in discussions with City Power JHB. Not yet signed. This is the biggest municipal prize in SA.
95+ municipalities (via Cigicell);9 provinces;BluEnergy Trading;?? Licence granted Feb 2026 — UoSAs not yet signed;Feb 2026 (licence);Municipal — prepaid infrastructure;Not yet live;N/A;Very High — widest municipal reach of any trader;[ Enter ];"High — but BluEnergy not yet trading; window to engage same municipalities";solarquarter.com Feb 2026;BluEnergy's Cigicell infrastructure spans 95+ municipalities. UoSAs not yet formalised. Largest potential municipal footprint in SA.
Lepelle-Nkumpi Local Municipality;Limpopo;[ Unknown ];?? NERSA public hearing scheduled May 2026;Pending;Municipal;N/A;N/A;Medium;[ Enter ];Yes — new municipal market opening;NERSA.org.za notice Apr 2026;NERSA has scheduled a public hearing for Lepelle-Nkumpi Local Municipality trading licence application. New municipal market opening.
City of Ekurhuleni;[ Province ];[ Competitor ];[ Status ];[ Date ];[ Network ];[ Customers ];[ Volume ];[ H/M/L ];[ Enter ];[ Enter ];[ Source ];[ Notes ]
Polokwane Local Municipality;;;;;;;;;;;;
eThekwini Municipality;;;;;;;;;;;;
Buffalo City Metropolitan Municipality;;;;;;;;;;;;
George Local Muncipality;;;;;;;;;;;;
Centlec-Mangaung Metropolitan;;;;;;;;;;;;
Swartland Municipality;;;;;;;;;;;;
Langeberg Local Municipality;;;;;;;;;;;;
Drakenstein;;;;;;;;;;;;
uMhlathuze;;;;;;;;;;;;
Midvaal Municipality;;;;;;;;;;;;
KwaDukuza Municipality;;;;;;;;;;;;
Maluti-a-Phofung ( DAA) Eskom equivalent;;;;;;;;;;;;
Merafong City (DAA) Eskom equivalent;;;;;;;;;;;;
Emfuleni (DAA) Eskom equivalent  ;;;;;;;;;;;;
