COMMERCIAL DEALS TRACKER - IPP partnerships;;;;;;;;;;;;
Log every deal — signed or rumoured. Update status as intel develops.;;;;;;;;;;;;
Date Reported;Competitor;Deal Type;Counterparty / Off-taker;Generation Source;Capacity (MW);Contract Duration;Pricing Structure;Deal Status;Geographic Region;Significance (H/M/L);Source / Reference;Apollo Response / Notes
2025-03;Etana Energy;Generator PPA;Mulilo / H1 Holdings (Du Plessis Dam Solar PV2);Solar;75 MW;Long-term;Not disclosed;Signed / Financial Close;Northern Cape (De Aar);High;etana.energy company updates Mar 2025;One of first utility-scale projects with trader as sole offtaker. First solar project for Etana as offtaker.
2024-Q3;Etana Energy;Generator PPA;Mulilo (Orkney Solar PV);Solar;219 MW (478 GWh pa);Long-term;Not disclosed;Signed;North West;High;etana.energy website;Etana sole offtaker. 478 GWh pa wheeled to customer portfolio.
2025-09;NOA Group;Generator PPA;Khauta South (349 MW solar, near Welkom);Solar;349 MW (1,073 GWh pa combined);Long-term;Not disclosed;Financial Close;Free State;High;pv-tech.org Jun 2025;Largest single-asset solar facility in SA at FC. Standard Bank structured Payment Guarantee Facility. Combined Khauta complex 506MW.
2025-09;NOA Group;Generator PPA;Khauta West (157 MW solar, near Welkom);Solar;157 MW;Long-term;Not disclosed;Financial Close;Free State;High;greenbuildingafrica.co.za Sep 2025;Second phase of combined 506MW Khauta complex.
2024-12;NOA Group;Generator PPA;Wind Garden Project (94.5 MW, NOA-owned);Wind;94.5 MW;Long-term;Not disclosed;Financial Close;Not disclosed;High;cbinsights.com / Standard Bank;NOA's first wholly owned large-scale wind facility.
2024-09;NOA Group;Generator PPA;Ishwati Emoyeni Wind Farm (140 MW, ACED);Wind;140 MW;Long-term;Not disclosed;Financial Close;Not disclosed;High;cbinsights.com / Standard Bank;NOA as offtaker. Standard Bank sole ML arranger.
2022-11;Enpower Trading;Generator PPA;SolarAfrica Energy (100 MW solar);Solar;100 MW;20-year;Not disclosed;Signed;National;High;engineeringnews.co.za Nov 2022;Enpower's first ever PPA. Landmark. Pioneered the trader-as-aggregator model in SA.
2023-06;Enpower Trading;Generator PPA;SolarAfrica (George, 1 MW pilot);Solar;1 MW;Long-term;Not disclosed;Active;George (Western Cape);Medium;engineeringnews.co.za Jun 2023;First live wheeling deal through George municipality. Proof of concept for municipal model.
2025-08;EXSA;Generator PPA;Seriti Green (Ummbila Emoyeni Wind, Mpumalanga);Wind;155 MW (525 GWh pa);15-year;Not disclosed;Signed / Financial Close;Mpumalanga;High;exsa.io Sep 2025 / wikipedia;R5bn project. 25 turbines. Target COD Oct 2027. EXSA procures all power.
2025-10;EXSA;Generator PPA;Sustainable Power Solutions (SPS, 5.6 MW solar, Malmesbury);Solar;5.6 MW;Long-term;Not disclosed;Signed;Western Cape (Malmesbury);Medium;wikipedia EXSA;Smaller-scale solar addition to portfolio.
2025-05;Discovery Green /Ampli Energy;Generator PPA;Sasol (Msenge Emoyeni 69 MW wind farm, Eastern Cape);Wind;69 MW;Long-term;Not disclosed;Active;Eastern Cape;High;discovery.co.za / sasol.com May 2025;Sasol's first wind facility used as anchor supply for Ampli Energy launch. SA's first wind facility to connect Ampli clients.
2025-05;Discovery Green /Ampli Energy;Generator PPA;Red Rocket (Overberg Wind Farm Phase 2, 150 MW);Wind;150 MW (489 GWh pa);Long-term;Not disclosed;Signed;Western Cape (Swellendam);High;wikipedia Ampli Energy May 2025;Unlocks Phase 2 of 150MW wind farm. Full COD expected 2027. Feeds Ampli customer base.
2026-02;Lyra Energy;Generator + Customer PPA;Thakadu Solar (255 MW) + 3 unnamed C&I offtakers;Solar;255 MW (2-phase);Fixed-tenor;Not disclosed;Signed / Pre-FC;Not disclosed;High;pv-tech.org / scatec.com Feb 2026;Lyra's first solar plant. Scatec delivers EPC+O&M. FC and construction Q1 2026. Signals Lyra scaling fast.
2025-03;PowerX;Generator PPA;Yellow Door Energy (Naledi Ya YDE Solar Park, 24.5 MW);Solar;24.5 MW (57.5 GWh pa);20-year;Not disclosed;Signed;North West (Leeudoringstad);Medium;pv-magazine.com Mar 2025;Construction mid-2025, commissioning 2026. Small-medium offtaker access focus.
2025-04;PowerX;Generator PPA;SolarAfrica (60 MW);Solar;60 MW;Long-term;Not disclosed;Signed;National;High;engineeringnews.co.za Apr 2025;Part of SolarAfrica's SunCentral supply to POWERX's customer portfolio.
2025-09;Investec Trading;Generator PPA;Ilikwa Solar PV Facility (50 MW, Free State);Solar;50 MW;Long-term;Not disclosed;Signed / Under Construction;Free State;Medium;pv-magazine.com Sep 2025 / iol.co.za;Investec's first trading deal post licence. Power expected Q2 2026. First major bank to trade electricity in SA.
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
