COMPETITOR PROFILES;;;;;;;;;;;;;;;;;;;
One row per competitor. Update only when fundamentals change.;;;;;;;;;;;;;;;;;;;
Competitor Name;Type of Trader;Key Owners / Shareholders;Target Market;Tag Line;Value Proposition / Positioning;Mission;Vision;Website;LinkedIn;NERSA License #;License Status;Estimated Market Position;Import / Export;SAPP Market Participant;GPPA (GWh);CPPA (GWh);Municipal Connected Offtakers;HQ / Region;Notes / Intel
Etana Energy;Pure play trader with a preference (non-exclusive) for offtake from projects with H1 Holdings interests;H1 Holdings (51%) & Chariot (49%). Norfund. Standard Bank. British International Investment. GuarantCo.;Primary: Large C&I offtakers. Secondary Mid-market corporates;Solving Your Business Needs Through Flexible, Renewable Energy Solutions. Clean and Simple. Electricity is a critical input to your business - let’s flip the switch and make it work for you.;Etana Energy is revolutionising how businesses access clean, affordable power. Through the energy wheeling model, we provide direct access to renewable electricity generated from our portfolio of wind and solar projects across South Africa.;NA;NA;https://www.etana.energy/;https://www.linkedin.com/company/etana-energy;;;;;;;;;;
NOA Group;IPP linked, own assets;AIIM (Old Mutual);"Large, stable anchor offtakers

Mining houses
Smelters
Large industrials";The potential of zero;NOA is a leading South African renewable energy independent power producer and aspirant trader, empowering commercial and industrial companies to reach their net zero goals and secure long-term energy savings.;NA;NA;https://noagroup.africa/;https://www.linkedin.com/company/noa-group-africa;;;;;;;;;;
Enpower Trading;Pure play trader with a preference (non-exclusive) for offtake from projects owned by SolarAfrica;Privately Held (management team);Primary: Large C&I offtakers. Secondary Mid-market corporates;Putting the Power Back in Your Hands;"By catalysing the energy merchant market and delivering utility-scale green energy solutions, Enpower Trading is accelerating private investment into new generation capacity.

From our diverse portfolio of IPP suppliers, we offer commercial and industrial clients the ability to buy greener energy on flexible contracts, with zero capital outlay.";NA;;https://enpowertrading.co.za/;https://www.linkedin.com/company/enpowertrading;;;;;;;;;;
EXSA (Energy Exchange of Southern Africa;Pure play trader;Remgro & RMB;Primary: Large C&I offtakers. Secondary Mid-market corporates;Bespoke Wheeled energy solutions;They position themselves as the platform that makes renewable energy procurement simple, reliable, and financially predictable for businesses.;"Delivering innovative energy solutions that are seamless, impactful, and pioneering.
We’re redefining the path to a cleaner, more resilient future – providing affordable and accessible electricity for a brighter, more sustainable Southern Africa.";"A sustainable solution to Africa’s energy challenges.
We see a future where Africa is powered by clean, reliable, and affordable energy — fuelling growth, businesses and uplifting communities across the continent.";https://exsa.io/;https://www.linkedin.com/company/energy-exchange-of-southern-africa2;;;;;;;;;;
GreenCo Power Services;Pure play trader focusing on cross border trading and SAPP market;Africa GreenCo (Founder, Ana Hajduka);Cross Border: Utilites, Governments, Large regional buyers, traders;A Continent Energized;GreenCo delivers tailored energy solutions that help businesses, utilities, and renewable energy developers thrive in today’s evolving market. Whether you produce, transfer or consume power, GreenCo provides reliable, cost-effective, full-service solutions that meet your needs.;Addressing creditworthiness to increase generation and growth of renewable energy markets through partnerships and innovative solutions.;NA;Africa GreenCo;https://www.linkedin.com/company/africa-greenco;;;;Yes ;Yes ;;;;;
Discovery Green /Ampli Energy;Pure play trader;Discovery Holdings;Large C&I offtakers.  Mid-market corporates. SME Municipal;The future of energy. Now.;The renewable energy platform for businesses that converts 90% of your electricity demand into affordable, price-certain, green energy.;Our mission is to establish South Africa as the global leader in renewable energy.;NA;https://www.discovery.co.za/business/discovery-green;None;;;;;;;;;;
SolarAfrica Trading;IPP linked, own assets;Solar Africa, IPP. AIIM, Helios Investment Partners;;Leaders in energy solutions for businesses;For over a decade, we’ve provided energy solutions that offer cost savings, carbon reduction and power security to South African businesses.;NA;NA;https://solarafrica.com/;https://www.linkedin.com/company/solarafricasa;;;;;;;;;;
Sola Group;IPP linked, own assets;AREP (African Rainbow Energy & Power). SOLA Group (Large scale IPP);;Postive + Energy. The SOLA group has been delivering innovative clean energy solutions since 2008;SOLA is a 100% South African, vertically integrated renewable energy company that provides solar infrastructure, generation and energy storage. SOLA delivers clean energy to businesses across South Africa using cutting edge generation and energy storage technologies. We help our clients to grow and prosper through the adoption of low cost and reliable renewable energy.;NA;NA;https://solagroup.co.za/;https://www.linkedin.com/company/sola-group-africa;;;;;;;;;;
Solink;IPP;;;South Africa's Independent Renewble Energy Consultant, Project Developer & Facilitator;"SOLINK is a leading technical advisor and project facilitator in renewable energy and battery energy storage. Our expertise spans rooftop and carport solar projects, large ground-mount site development, battery energy storage and efficient wheeled energy solutions.

We manage every aspect of your commercial solar project — from initial feasibility study to construction oversight and final commissioning. With a deep understanding of renewable energy engineering, construction, and financing, we deliver tailored solutions informed by the latest local market insights.

Our independent, client-first approach means you get unbiased renewable energy advice, no installer bias, no conflicts of interest. Just the most efficient, cost-effective solution for your business.";Unlock Africa's renewable energy potential by leveraging local and international experience, industry contacts, and expertise in renewable energy development, construction, and project financing — across solar PV, battery storage and wheeled energy solutions;NA;https://solink.co.za/;https://www.linkedin.com/company/solink-pty-ltd;;;;;;;;;;
Energy Brokers;Energy brokers;;;Wheeled Energy Brokerage;Secure lower energy costs through vetted wheeled energy projects. We source, structure, and verify energy solutions, so you don't have to run a time-consuming, complex procurement process.;NA;NA;https://energy-brokers.co.za/;https://www.linkedin.com/company/energybrokers;;;;;;;;;;
