NERSA LICENCE TRACKER — Who has what licence, when, and what it means;;;;;;;;;;;;;
Licence types: National Trading = buy/sell on Eskom national grid | Municipal = buy/sell via municipal distribution grid | Import/Export = cross-border SAPP trading | Eskom licence challenge: High Court review of Oct 2024 batch SUSPENDED Jul 2025 pending finalisation of trading rules (due Jun 2026);;;;;;;;;;;;;
Competitor;Domestic Trading Licence;"Licence Date
(Domestic)";Licence Scope;Import/Export Licence;I/E Date;Eskom Challenge?;Licence Duration / Term;"Strategy Signal
(what the licence reveals)";Target Market Implied;Primary Sectors Targeted;Municipal Networks Active;Pending Applications?;Notes / Source
PowerX (formerly Amatola Green Power);? GRANTED;2009 / ~2014;National (Eskom grid) + Municipal;None confirmed;—;No – Eskom did not challenge PowerX licence;20-year (longest of all traders);Pioneer. Only trader to hold a 20-year licence. Massive first-mover advantage. Aggregator model serving both large and small/medium offtakers.;Large C&I + small/medium offtakers national;Manufacturing, mining, general C&I;Multiple (national);None known;First NERSA private trading licence ever issued. engineeringnews.co.za Oct 2024 / cdh.com
Enpower Trading;? GRANTED;February 2022;National (Eskom) + Municipal (Eskom & municipal grids);? GRANTED;July 2025;No – not challenged;Not disclosed;First to receive an I/E licence among private traders. Cross-border SADC ambition via Enterprise Power DRC / Kalumbila-Kolwezi 700MW interconnector. Municipal focus with revenue-neutral model.;Large C&I + Municipal networks + Cross-border;Retail, manufacturing, mining, municipalities;George, Overstrand, Cape Town pilot, City Power JHB (in discussion);None known;greenbuildingafrica.co.za Aug 2025 / engineeringnews.co.za
Etana Energy;? GRANTED;May 2022;National (Eskom grid) + Municipal (Nelson Mandela Bay, Cape Town);None confirmed;—;No – not challenged;15-year;First black-empowered trader. National + specific municipal wheeling active. 15-year term gives long runway. Focus on large mining + commercial.;Large C&I (mining-heavy) + selected municipalities;Mining (PGMs, gold, diamonds), commercial real estate, retail;City of Cape Town (pilot), Nelson Mandela Bay Metro;None known;etana.energy/about — 'issued May 2022'. Chariot RNS Nov 2022. LinkedIn 15-year term ref.
EXSA (Energy Exchange of Southern Africa);? GRANTED;2022;National (Eskom grid) — Eskom grid only initially;None confirmed;—;No – not challenged;Not disclosed;Eskom-grid-only scope initially. Remgro/RMB backing gives institutional credibility. Diversifying into solar (2025) then wind (2027). Municipal expansion likely next.;Large C&I national;Retail, food & bev, commercial real estate, financial services;None currently (Eskom grid only);None known;wikipedia EXSA — '2022 NERSA granted licence to trade via Eskom national grid'
Envusa Energy Trading;? GRANTED;December 2023;Specific provinces: Northern Cape, North West, Eastern Cape, Limpopo (Eskom grid);None confirmed;—;No – not challenged;Not disclosed;Geographically scoped licence (not fully national). Tightly tied to Anglo American + EDF Renewables' own asset pipeline. Captive model — primarily serves Anglo American group operations.;Anglo American group operations + select 3rd-party miners;Mining (PGMs, iron ore, diamonds), heavy industrial;None — Eskom transmission grid only;Potential expansion to full national scope;miningweekly.com Dec 2023
NOA Group Trading;? GRANTED;31 January 2025;National — 'without geographic limitations' per NERSA decision;None confirmed;—;No – not challenged (Jan 2025 licence predates Eskom challenge);Not disclosed;National licence without geographic restriction. NERSA decision explicitly stated traders are not geographically limited. Targeting large industrials, miners, data centres.;Large C&I national (mining, smelting, data centres, industrials);Mining, smelting, manufacturing, data centres, property;Eskom grid + municipal (stated capability);None known;noagroup.africa Feb 2025 / energize.co.za
CBI Electric Apollo;? GRANTED;October 2024;National;None confirmed;—;"?? YES — Eskom challenged Oct 2024 batch; SUSPENDED Jul 2025 pending trading rules";Not disclosed;Note: This is CBI Electric Apollo — different entity to Apollo Africa (which is the parent). Trading entity uses the Apollo Africa brand. National licence.;Large C&I national;Manufacturing, mining, general C&I;Not yet specified;None known;engineeringnews.co.za Oct 2024. Apollo Africa CEO Jenna Harris confirmed identity.
Discovery Green (incl. Ampli Energy);? GRANTED;October 2024;National;None confirmed;—;"?? YES — Eskom challenged Oct 2024 batch; SUSPENDED Jul 2025 pending trading rules";Not disclosed;National licence. Discovery Green is a Discovery Holdings business. Ampli Energy (May 2025 JV with Sasol) radically expands reach to SMEs + NGOs via virtual wheeling. Disruptive month-to-month model.;SMEs, mid-corporate, NGOs — broadest customer base of any trader;All sectors — widest net via Ampli's no-contract model;National virtual wheeling (no specific municipal agreements yet);None known;engineeringnews.co.za Oct 2024
Green Electron Market (Sturdee Energy);? GRANTED;October 2024;National;None confirmed;—;"?? YES — Eskom challenged Oct 2024 batch; SUSPENDED Jul 2025 pending trading rules";Not disclosed;IPP-linked trader (Sturdee Energy). National licence. Sub-Saharan Africa focus — likely cross-border ambitions.;Large C&I national + potential regional;Utilities, mining, large industrials;Not yet specified;None known;engineeringnews.co.za Oct 2024
GreenCo Power Services;? GRANTED;October 2024;National (domestic trading);? GRANTED;October 2024;"?? YES — Eskom challenged Oct 2024 batch; SUSPENDED Jul 2025 pending trading rules";Not disclosed;Only private company to hold BOTH domestic AND import/export licences simultaneously (Oct 2024). Cross-border SAPP focus is core to identity. SA licence enables domestic + regional play. First private I/E licence.;Cross-border SAPP utilities + large SA C&I;Mining, utilities, governments, large regional buyers;None currently — Eskom transmission grid;None known;engineeringnews.co.za Oct 2024. africagreenco.com
