COMPETITOR MARKETING & COMMUNICATIONS TRACKER;;;;;;;;;;;;;
Apollo Africa  |  Track campaigns, messaging shifts, PR moves and brand activity across all competitors  |  Updated monthly;;;;;;;;;;;;;
HOW TO USE:  Log every competitor comms move here — LinkedIn posts, press releases, awards, rebrands, campaigns, events, white papers.  'Key Message / Angle' = WHAT they are actually saying, not just that they said something.  'Apollo Counter-move?' = where intelligence becomes strategy.;;;;;;;;;;;;;
Date;Competitor;"Channel /
Medium";"Activity
Type";Campaign / Headline;Key Message / Angle;"Target
Audience";"Reach /
Scale";"Tone &
Quality";"Apollo
Relevance";Apollo Counter-move?;"Urgency
(H/M/L)";Source / Link;Notes
DD MMM YYYY;"Competitor
name";"e.g. LinkedIn
Press Release
Event
Webinar";"e.g. Thought
Leadership
Campaign
Award";"Specific post /
article /
campaign title";"In ONE sentence:
what are they
actually saying?";"Who is this
aimed at?";"High / Med / Low
reach est.";"Strong /
Medium /
Weak";"H/M/L —
does this
threaten Apollo?";"Act now /
Monitor /
Ignore";H / M / L;"URL or
publication";"Additional
context"
? MAJOR CAMPAIGNS & PRODUCT LAUNCHES;;;;;;;;;;;;;
15 May 2025;Discovery Green /Ampli Energy;"Press Release +
Event (Sandton HQ)";Product Launch;'No fee, no risk, no hassle' — Ampli Energy launch;Renewable energy is now accessible to every SA business, even SMEs and NGOs — no contracts, no capex, just monthly cashback. We are democratising green energy.;SMEs, NGOs, mid-corporates, anyone excluded from traditional long-term PPAs;HIGH — CEO of Discovery + Sasol CEO + Energy Minister at launch. National press coverage. Daily Maverick, Engineering News, BusinessTech.;Strong — differentiated, disruptive, emotionally resonant. First-mover messaging on cashback model.;High — directly threatens Apollo's potential mid-market customers. Month-to-month product vs Apollo's PPA-only positioning.;Act now — Apollo needs a response for the mid-market. What is our answer to a customer who asks 'why should I sign a PPA when Ampli needs nothing from me?';H;engineeringnews.co.za 15 May 2025 / dailymaverick.co.za;Electricity Minister Ramokgopa attended. Called it 'democratising' green electrons. Discovery CEO Adrian Gore + Sasol CEO Simon Baloyi fronted it. First tranche already fully subscribed at launch. Customers: Nando's, Vida e Caffè, Hatfield Motors, NetFlorist, NGOs.
15 May 2025;Discovery Green /Ampli Energy;"White Paper
(Krutham research)";Thought Leadership;'Wheeling for Growth' white paper commissioned by Discovery Green;If SMEs and non-energy-intensive businesses replaced 100% of electricity with renewables, SA would need 16.9GW more generation capacity. This is an economic transformation, not just an energy swap.;Policy makers, investors, media, large C&I buyers;HIGH — independent research gives credibility. Covered in multiple publications.;Strong — smart move to pair product launch with independent research. Positions Discovery Green as market educator.;High — sets the narrative for the mid-market opportunity. Apollo has no equivalent thought leadership piece.;Act — Commission or co-author an independent market insight paper. Apollo needs a thought leadership platform beyond deal announcements.;H;mynewsdesk.com / discovery.co.za 15 May 2025;Research by Krutham (same firm SAETA commissioned). Classic content marketing: fund independent research that validates your product's market rationale.
? THOUGHT LEADERSHIP & INDUSTRY ADVOCACY;;;;;;;;;;;;;
17–18 Feb 2026;NOA Group;"Industry Event
(Mining Indaba 2026)";"Event Appearance +
Deal Announcement";Pan African Resources deal announced at Mining Indaba 2026;NOA is the go-to energy partner for SA's mining sector. 16GW of mining sector renewable initiatives underway — execution matters now, not intent.;Mining sector CEOs, CFOs, investors, Mining Indaba delegates;HIGH — Mining Indaba is the most influential mining event in Africa. NOA CEO Karel Cornelissen pictured with Pan African Resources CEO and CFO.;Strong — deal announcement at a major event = double amplification. Trade press, social, and investor coverage.;High — NOA is aggressively owning the mining sector narrative. Apollo should have a presence at Mining Indaba 2027.;Act — Apollo should target Mining Indaba 2027 for speaking slot and deal announcement timing.;H;noagroup.africa / engineeringnews.co.za Feb 2026;NOA CEO quote: 'With an estimated 16GW of renewable energy initiatives underway in South Africa's mining sector, the focus is increasingly on execution rather than intent.' Strong, confident positioning.
Feb 2026;NOA Group;"Op-Ed
(Business Day)";Thought Leadership;'Electricity reform: execution now matters more than intent' — Andrew Taylor op-ed;Traders are essential market infrastructure, not just middlemen. The reform challenge now is implementation, not legislation.;Business community, policy makers, investors, regulators;MEDIUM — Business Day readership. Targeted audience.;Strong — credible, policy-fluent, positions NOA as a market architect not just a participant.;High — NOA's head of trading is building personal brand as THE voice on SA electricity reform. Apollo has no equivalent public voice.;Act — Apollo's MD Jenna Harris or ED Cameron should be submitting op-eds to Business Day and Mail & Guardian. Apollo is SAETA member but not visible in media.;H;businessday.co.za 28 Feb 2026;Andrew Taylor is NOA co-founder and head of trading. Regular op-ed contributor. Apollo needs named spokespeople who are regulars in trade and business media.
17 Feb 2026;All SAETA members incl. Apollo;"Press Release +
Report Launch";"Industry Association
Campaign";SAETA 'Policy to Power' report — 10 actions for SA electricity reform;Electricity traders are critical market infrastructure for SA's energy transition. Reform must move from intent to execution. Traders connect generators, customers, finance and networks — they are the market.;Government, NERSA, media, investors, large C&I buyers;HIGH — covered by Engineering News, Mail & Guardian, Bloomberg, Moneyweb, IOL, Green Building Africa, IOL Business Report.;Strong — well-produced, independently researched (Krutham). Good collective brand-building for the trading sector.;Medium — benefits Apollo as SAETA member but Apollo is not individually named or quoted. NOA's Andrew Taylor gets prominent mention.;Monitor — Apollo should ensure a named Apollo spokesperson is quoted in any future SAETA media releases. Don't be invisible in your own industry's biggest PR moment.;M;infrastructurenews.co.za / greenbuildingafrica.co.za Feb 2026;SAETA members named: Africa GreenCo, Apollo, Discovery Green, Enpower, Envusa, Etana, EXSA, Investec, Lyra, Mainstream, NOA, POWERX, Sturdee. NOA's Taylor most quoted. Chairperson Khaya Mbatha quoted. Apollo not individually quoted.
? REBRANDS & WEBSITE REFRESHES;;;;;;;;;;;;;
Dec 2024;EXSA;Website / Rebrand;"Rebrand +
New Website";EXSA relaunches with new website and brand — 'A New Era of Energy';EXSA is not just an energy provider — it is your partner in energy transformation. We bring simplicity, innovation and impact to renewable procurement.;Large C&I buyers, potential partners;MEDIUM — industry press noted it. New CEO Wayne Cowie appointed Oct 2024, rebrand followed.;Medium — cleaner brand, better website, but messaging still fairly generic.;Medium — EXSA is professionalising fast under new leadership. Worth watching how their content strategy develops.;Monitor — review EXSA's new resource hub (exsa.io/resources) monthly. They are publishing market education content which could compete with Apollo's positioning.;M;exsa.io Dec 2024 / businesstech.co.za May 2025;New CEO Wayne Cowie started Oct 2024. New exec team: COO Aishah Gire, head of legal Monique Jordaan, head of product Shailin Moodley, head of BD Henri van Eetveldt. Rebrand signal = company entering growth phase.
? SECTOR TARGETING & DEAL COMMS;;;;;;;;;;;;;
Feb 2026;Etana Energy;"Press Release +
LinkedIn";Deal Announcement;Etana announces 600GWh/yr PPA with Sibanye-Stillwater;Etana now has 20+ large customer PPAs signed. We are the proven, trusted partner for SA's largest energy users. Our blended wind-solar portfolio delivers more coverage than solar-only competitors.;Large mining companies, C&I energy managers, ESG-focused investors;HIGH — Sibanye-Stillwater is JSE and NYSE-listed. Major news. Covered in multiple international mining and energy media.;Strong — Etana is disciplined in its deal PR. Every major deal gets a well-timed press release with CEO quotes from both parties.;High — Etana is cementing its position as the go-to trader for large mining. Apollo's pure-play independence is a potential differentiator here.;Act — Apollo should develop a clear counter-narrative: 'Unlike IPP-linked traders, Apollo sources from the best project regardless of parent company.' Pure-play independence is underutilised as a message.;H;africanminingmarket.com / cbn.co.za Feb 2026;Third mining PPA for Etana after Tharisa and Petra Diamonds. Operational from late 2027. Etana's guarantee facilities (R2.8bn, unlocking 700MW) are a key message — they use this to differentiate from undercapitalised traders.
Aug 2025 / Feb 2026;NOA Group;"LinkedIn +
Press Release";"Deal Announcement
(Mining sector series)";NOA: Pan African, Tronox, MMC, Netcare, OMREHC deals announced;NOA is systematically building a diversified portfolio across mining, chemicals, healthcare and property. We are not just a mining trader — we serve SA's entire industrial economy.;Mining, industrial, healthcare, property sectors — deliberately diverse;HIGH — sustained deal news cadence. A new announcement every 1-2 months keeps NOA in the media.;Strong — smart diversification messaging. Healthcare angle (Netcare) is unexpected and differentiating.;High — NOA is building a multi-sector narrative before Apollo has established one. Netcare deal signals healthcare sector entry.;Act — Apollo should identify 1-2 unexpected sectors (e.g. agriculture, healthcare, logistics) and make a targeted move. Being first in a sector creates a narrative anchor.;H;noagroup.africa / engineeringnews.co.za various 2025–2026;NOA Netcare deal is notable — no other trader has publicly entered healthcare. Smart positioning to show versatility beyond mining.
Mar 2025;Enpower Trading;Press Release;Deal Announcement;Sappi + Enpower reach financial close on 175GWh/yr 5-year PPA;The 5-year PPA model is now proven at scale. Short-tenure, flexible contracts are the future of SA's energy market — we pioneered them.;C&I energy managers, CFOs, sustainability leads at large corporates;HIGH — first 175GWh 5-year PPA at financial close in SA. Engineering News, Sappi global press release.;Strong — Enpower owns the short-tenure narrative. This is a genuine market-shaping claim.;High — short-tenure PPAs are an underserved product category. Apollo needs a clear position on contract flexibility.;Act now — Apollo should build a '3-year PPA' or 'flexible contract' product and communicate it. Enpower is setting the frame.;H;engineeringnews.co.za Feb 2025 / sappi.com Feb 2025;Enpower CEO James Beatty quote: 'Enpower Trading's approach to the five-year PPA model delivers further liquidity to the market by ensuring financial feasibility for developers for a much wider range of projects.' Smart — addresses both IPP and offtaker concerns simultaneously.
Sep 2025;Investec Trading;"Press Release +
Website";"Licence Announcement +
Brand Launch";Investec receives NERSA trading licence — 'Shaping SA's energy future, together';As the first major bank in electricity trading, Investec brings financial expertise, risk management and long-term capital to the energy market. We enable access without tying up your capital.;Corporate finance teams, CFOs, treasury, large C&I buyers with existing Investec relationships;HIGH — first bank to trade electricity in SA. PV Magazine, IOL, MarketScreener all covered it.;Strong — slick corporate positioning, leverages existing client trust. Tagline: 'Energy Trading. Shaping South Africa's energy future, together.';High — Investec has deep existing corporate relationships. Could cross-sell electricity trading to current banking clients before Apollo even gets a meeting.;Act — Apollo needs to understand which corporates Investec banks that Apollo is also targeting. These are now dual-approach targets.;H;pv-magazine.com Sep 2025 / iol.co.za Sep 2025;Head of renewable energy trading: Mpho Modise. First project: 50MW Ilikwa Solar PV (Free State), Q2 2026. Investec's leverage: existing corporate relationships + balance sheet + hedging products.
? LINKEDIN & SOCIAL ACTIVITY PATTERNS;;;;;;;;;;;;;
Ongoing 2025–2026;Etana Energy;"LinkedIn
(Company page)";Organic Content;Etana LinkedIn: 734 followers, deal-driven content strategy;Each major deal gets a standalone post with CEO quotes and customer logos. Low volume, high signal. No noise — only meaningful updates.;IPPs, C&I energy managers, investors, policy community;LOW volume — but HIGH quality. Etana does not post often.;Strong — Etana is disciplined. Only posts when there is real news. Avoids the generic green energy content trap.;Medium — Etana's LinkedIn reach is small but credible within the right audience.;Monitor — track Etana's posting cadence. A sudden increase = major announcement incoming.;L;linkedin.com/company/etana-energy;734 LinkedIn followers. Very low posting frequency. All posts are deal/milestone announcements. No thought leadership, no employee content. Contrast with NOA (1,510 followers, more active).
Ongoing 2025–2026;NOA Group;"LinkedIn
(Company page + exec)";"Organic Content +
Executive Personal Brand";NOA LinkedIn: 1,510 followers, active exec personal branding;NOA is building South Africa's energy future. Our engineers, traders and developers are the people making it happen. Energy transition = economic transformation.;Mining sector, policy community, investors, talent market;MEDIUM — 1,510 followers. More active than peers. Mix of deal news and culture posts.;Medium — good mix but some generic energy content dilutes the signal.;Medium — NOA is investing in employer brand alongside commercial comms.;Monitor — watch for NOA building exec personal brand (Andrew Taylor, Karel Cornelissen already active on LinkedIn as named commentators).;L;linkedin.com/company/noa-group-africa;1,510 followers. Andrew Taylor (head of trading) is NOA's most visible public voice — regular op-eds and media appearances. Karel Cornelissen (CEO) quoted in all major deal PRs.
? WHAT TO TRACK GOING FORWARD — GAPS APOLLO SHOULD FILL;;;;;;;;;;;;;
April 2026 onwards;Apollo Africa;[ Multiple channels ];[ Strategic Opportunity ];APOLLO OPPORTUNITY: Apollo is largely absent from public comms despite being a SAETA member;Apollo is mentioned in trade press only when SAETA is mentioned collectively. No standalone thought leadership, no named spokesperson visible in trade media, no op-eds, no white papers.;Apollo's own target customers — large C&I, mining, agri, data centres;Currently LOW — Apollo needs to build its own media presence.;N/A — Apollo has no current comms programme visible in research;Critical — Apollo's competitors are building brand equity through content. Apollo is being outpaced on the comms front.;ACT — Apollo needs: (1) a named spokesperson strategy, (2) a thought leadership article cadence, (3) a deal PR process, (4) a LinkedIn content calendar.;H;Research across all sources — Apollo not found as standalone media subject;Apollo CEO Jenna Harris quoted once in Engineering News (Oct 2024, welcoming NERSA decision). No other Apollo-specific press found. This is a significant comms gap given the company's market position and Reunert backing.
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
